Name,State,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Death Valley National Park,california,0,0,0,0,0,0,0,0,0,0,8000,0,0,0,0,0
North Cascades National Park,washington,0,0,0,0,0,0,21000,0,0,0,0,0,0,0,0,0
Point Reyes National Seashore,california,3300,0,0,0,41250,4570,0,3405,12528,12532,0,0,0,0,0,0
Redwood National Park,california,0,0,0,0,0,0,14500,9700,6468,464,0,0,0,0,0,0
Santa Monica Mountains National Recreation Area,california,0,4200,4600,0,0,5280,0,0,25661,9500,0,0,11,0,2500,0
Sequoia and Kings Canyon National Parks,california,33947,24026,44205,44476,9818,33805,19348,18152,34289,1302,0,0,6463,5952,21059,0
Whiskeytown National Recreation Area,california,6500,0,8900,4250,51200,36500,2400,7708,30945,15579,0,0,1271,4680,12321,0
Yosemite National Park,california,0,0,5100,0,0,21000,0,4735,3657,0,0,0,0,0,1520,3000
